firstname,lastname,gender
Kossi,Ocloo,1
Maëlle,Boateng,0
Alain,Zouma,1
Emeka,Larsson,1
Kwaku,Diawara,1
Tania,Kouassi,0
Élise,Nkrumah,0
Olympe,Alassani,0
Togbe,Ferrari,1
Lilou,Lefebvre,0
Adeyemi,Diabre,1
Willy,Agbodeka,1
Queen,Moussa,0
Margot,Amekudzi,0
Isabelle,Russo,0
Odette,Garcia,0
Lilou,Attipoe,0
Alice,Fischer,0
Wenceslas,Martinez,1
Aleksandr,Brown,1
Sophia,Wang,0
Sarah,Awuku,0
Winnie,Johansson,0
Noémie,Agbozo,0
ruth,Larsson,0
Mélanie,Koulibaly,0
Jean,Khan,1
Therese,Boateng,0
Serena,Weber,0
Rebecca,Akoto,0
Patrick,Bangoura,1
Akowé,Silva,1
Abiré,Schmidt,0
Johan,Kouyaté,1
Olivier,Patel,1
Innocent,Liu,1
Adjoua,Fischer,1
Élise,Simon,0
Skylar,Tchamye,0
Mawusi,Kowalski,0
Cecile,Ferreira,0
Georges,Sagna,1
Serena,Ofori,0
Océane,Amegantse,0
Denis,Smith,1
Marine,Opoku,0
Méyébinesso,Wilson,1
Kwaku,Togbe,1
Skylar,Awuku,0
Adwoa,Adzaho,0
Véronique,Toure,0
Élodie,Ofori-Atta,0
Segun,Johnson,1
Philippe,Anani,1
Kodjovi,Alassani,1
Raymond,Hounnou,1
Mila,Zhang,0
Olympe,Gbikpi,0
Joshua,Amevor,1
Tristan,Ahove,1
Awura,Obodai,0
Tunde,Williams,1
Quintine,Martinez,0
Luís,Lopez,1
Aria,Rossi,0
Chen,Gnama,1
Franck,Bangoura,1
Sylvain,Avoseh,1
ruth,Ferrari,0
Jeanne,Kouassi,0
Sylvain,Watanabe,1
Youssef,Bangoura,1
Klaus,Ivanov,1
Omar,Lefebvre,1
Cédric,Aidoo,1
Pascal,Taylor,1
Inès,Awuku,0
Philippine,Diawara,0
Kouadio,Nyaku,1
Abena,Amegashie,0
Kwaku,Atsu,1
David,Sharma,1
Nora,Garcia,0
Ursule,Foli,0
Yao,Schneider,1
Steven,Sarr,1
Médar,Müller,1
Willy,Osei,1
Bèni,Ofori,1
Abena,Abliza,0
Giuseppe,Akakpo-Doe,1
Tunde,Amekudzi,1
Marie,Kowalski,0
Luna,Diawara,0
Willy,Ferrari,1
ruth,Sarr,0
Charlène,Russo,0
Ama,Hansen,0
Kwesi,Kouadio,1
Hussein,Wilson,1
Kwaku,Quist,1
Talitha,Osei,0
IDRISSOU,Hounnou,1
Jorge,Durand,1
Arnaud,Zouma,1
Mawuli,Bangoura,1
Odette,Adomako,0
Charlène,Nkrumah,0
Zélie,Sokpor,0
Hortense,Johansson,0
David,Abliza,1
Zinsou,Moussa,1
Komivi,Opoku,1
Anthony,Sato,1
Jorge,Diallo,1
Remi,Aidoo,1
Rachelle,Sato,0
Jean-Pierre,Moreau,1
Rachelle,Martinez,0
Beatrice,Smith,0
Blandine,Adomako,0
Luis,Obodai,1
Catherine,Ferreira,0
Ekoue,Ofori,1
Sebastian,Diallo,1
Jacques,Ofosu,1
Christophe,Ahove,1
Vijay,Garcia,1
Olivier,Koffi,1
Mawusi,Djondo,0
Mark,Baah,1
Xenia,Zhang,0
Gérard,Ahove,1
Ximena,Morquette,0
Odile,Mensah,0
Chen,Akoto,1
Carlos,Baah,1
Louis,Kowalski,1
Annabelle,Esposito,0
Thibault,Sharma,1
Michel,Martinez,1
Johan,Abliza,1
Kwame,Johnson,1
Kwaku,Djondo,1
Samira,Ayite,0
Nathalie,Moussa,0
Giuseppe,Baah,1
Brooklyn,Quist,0
Quintine,Obodai,0
Yvette,Gbedemah,0
Ezechiel,Schmidt,1
Odette,Gupta,0
Camila,Zoungrana,0
Beatrice,Akakpo-Doe,0
Sabrina,Osei,0
Fabrice,Nayo,1
Kokou,Davis,1
Odette,Owusu,0
Edem,Müller,1
Jocelyn,Ayite,1
Yasmine,Opoku,0
Awura,Hounnou,0
Queen,Zoungrana,0
Nathanael,Silva,1
Pedro,Sylla,1
Koffi-Doe,Bakari,1
Elena,Sato,0
Sylvain,Brown,1
Audrey,Lawson,0
Jean-Pierre,Kouassi,1
Camila,Schneider,0
Yao,Davis,1
Xavier,Aidoo,1
Arjun,Sagna,1
Jin,Patel,1
Margot,Osei,0
Julien,Zouma,1
Luís,Li,1
Odile,Adomako,0
Olivier,Weber,1
Léa,Djondo,0
Yasmine,Ackah,0
Agbeko,Ofosu,1
Hugues,Quist,1
Diego,Pereira,1
Yves,Santos,1
Scarlett,Takyi,0
Simone,Nyavor,0
Aurora,Leroy,0
Remi,Koffi,1
Noah,Diawara,1
Nadine,Fischer,0
Aaliyah,Kouyaté,0
Ravi,Kouadio,1
Kossiwa,Silva,0
Madison,Diabre,0
Chloe,Singh,0
Andrew,Sato,1
Efia,Sylla,0
Wendie,Weber,0
Mila,Schneider,0
Edem,Atsu,1
Atsuko,Li,0
Kevin,Ackah,1
Téléky,Akakpo-Doe,1
Paolo,Moreau,1
Amelia,Khan,0
Ade,Ackah,1
Odile,Li,0
Serena,Baah,0
Gaston,Andersen,1
Caroline,Koulibaly,0
Fiifi,Ofosu,1
Tina,Agbozo,0
Benoit,Agyeman,1
Cecile,Ofori,0
Fleur,Aidoo,0
Ximena,Watanabe,0
João,Dogbe,1
Donald,Nyaku,1
Maëlys,Kouyaté,0
Juliette,Boateng,0
Layla,Diabre,0
Romain,Li,1
Abiré,Zouma,0
Emma,Attipoe,0
Kwesi,Akakpo-Doe,1
Mensah,Bakari,1
Noémie,Russo,0
Wendy,Johansson,0
Donald,Müller,1
Aurelie,Foli,0
Zinsou,Tetteh,1
Kokou,Martinez,1
Bèni,Schneider,1
Aline,Batali,0
Gabriella,Martinez,0
Yolande,Schmidt,0
Clara,Sato,0
Luc,Owusu,1
Ellie,Zongo,0
Camille,Watanabe,0
Steven,Abliza,1
Innocent,Lefebvre,1
Elena,Zouma,0
Efia,Owusu,0
Amelia,Ackah,0
Gifty,Smith,0
Arnaud,Adzaho,1
Efia,Nyavor,0
Skylar,Ferreira,0
Téléky,Ocloo,1
Jürgen,Diallo,1
Ilétou,Dzokoto,0
Jacqueline,Ferreira,0
Philippe,Quist,1
Ravi,Amegashie,1
Ekoue,Awuku,1
Madeline,Schneider,0
Julia,Owusu,0
Quenotte,Wilson,0
Baptiste,Ackah,1
Takashi,Agbobli,1
Omar,Sagna,1
Médar,Sokpor,1
Clement,Akakpo-Doe,1
Amouzou,Lawson,1
Folly,Wilson,1
Marine,Amevor,0
Didier,Novak,1
Franck,Kouyaté,1
Yannick,Müller,1
Sven,Osei,1
Erik,Boateng,1
Yao,Khan,1
Remi,Togbe,1
Justine,Agbobli,0
Léa,Tchamye,0
Paisley,Ferreira,0
Ahmed,Williams,1
Nora,Wilson,0
Awura,Durand,0
Penelope,Suzuki,0
Olivia,Alassani,0
Tiphaine,Rossi,0
Edem,Williams,1
Francisco,Singh,1
Mila,Nyaku,0
Ludovic,Adzaho,1
Stéphane,Ofori-Atta,1
Annabelle,Johansson,0
Cécilia,Ivanov,0
Chen,Martinez,1
Zélie,Baah,0
Thibault,Schneider,1
Régis,Sato,1
Philippine,Novak,0
Quentin,Nyavor,1
Paisley,Tanaka,0
Sebastian,Darko,1
Grace,Moussa,0
Awura,Nyavor,0
Aleksandr,Singh,1
Antoine,Osei,1
Segun,Ackah,1
Vincent,Watanabe,1
Zara,Lefebvre,0
Georges,Adomako,1
Maëlys,Darko,0
Delphine,Ivanov,0
Nora,Aidoo,0
João,Abliza,1
Richard,Ofori-Atta,1
Hans,Koffi,1
Mamadou,Ferrari,1
Rosalie,Garcia,0
Amelia,Mensah,0
Cheikh,Pereira,1
Adjoa,Petrov,0
Lucie,Baah,0
Chen,Hounnou,1
Gifty,Tetteh,0
Jean-Pierre,Agbobli,1
Ursule,Fischer,0
Scarlett,Foli,0
Kwadwo,Lopez,1
Kodjo,Sokpor,1
Lucy,Moreau,0
Alain,Moussa,1
Kossi,Silva,1
Dmitry,Simon,1
Julia,Lawson,0
Yōsuke,Togbe,1
Margot,Ofosu,0
Tina,Quist,0
Mohamed,Sato,1
Marcel,Ayite,1
Stella,Zhang,0
Kokou,Petrov,1
Kossiwa,Garcia,0
Axelle,Batali,0
Ade,Hounnou,1
Alice,Gupta,0
Kossi,Sato,1
Brooklyn,Wilson,0
Afi,Zongo,0
Afia,Osei,0
Luis,Sato,1
Maëlys,Moussa,0
Peter,Moreau,1
Jorge,Batali,1
Dmitry,Bangoura,1
Akosua,Schmidt,0
Ava,Agbodeka,0
Médar,Djondo,1
Brooklyn,Zhang,0
Marcel,Amouzou,1
Boevi,Miller,1
Amit,Opoku,1
ruth,Petrov,0
Danielle,Owusu,0
Leah,Wilson,0
Helena,Koffi,0
Jacques,Koffi,1
Philippe,Nyaku,1
Fatoumata,Liu,0
Hannah,Dogbe,0
Éléonore,Nayo,0
Océana,Lawson,0
Odile,Moussa,0
Quintina,Nayo,0
Pierrette,Sharma,0
Emily,Azamati,0
Wendie,Dzokoto,0
Kossiwa,Boateng,0
Thibault,Miller,1
Chike,Ansah,1
Nicolas,Pereira,1
Paisley,Ayigbe,0
Tiphaine,Kouadio,0
Chen,Kouassi,1
Gilles,Patel,1
Dodji,Ferrari,1
Essowaza,Suzuki,1
Helena,Diawara,0
Estelle,Gupta,0
Cédric,Moussa,1
Chloe,Koffi,0
Violet,Koffi,0
Raoul,Akakpo,1
Esso,Kouadio,1
Efia,Kouadio,0
Abdel-Aziz,Kouyaté,1
Donald,Bangoura,1
Mansan,Kouyaté,0
Fabrice,Owusu,1
Camille,Foli,0
Amit,Watanabe,1
Xenia,Garcia,0
Wanda,Chen,0
John,Aidoo,1
Aaliyah,Mensah,0
Yao,Ivanov,1
Amelia,Johnson,0
ruth,Akakpo-Doe,0
Jin,Ivanov,1
Abena,Dzokoto,0
Johan,Ferrari,1
Aria,Kouassi,0
Emma,Gupta,0
Océana,Aidoo,0
Esso,Gonzalez,1
Amit,Hansen,1
Mahmoud,Diawara,1
James,Li,1
Rémy,Sato,1
Laurent,Weber,1
Beatrice,Novak,0
Omar,Leroy,1
Thierry,Traoré,1
Quenotte,Martinez,0
Adeyemi,Sato,1
Elena,Abliza,0
Wanda,Nkrumah,0
Nathanael,Nyavor,1
Véronique,Andersen,0
Liliane,Koffi,0
Odile,Müller,0
Didier,Agbobli,1
Pascal,Andersen,1
Innocent,Dossou,1
Laurent,Jones,1
Émilie,Opoku,0
Aurora,Ahove,0
Ade,Toure,1
Ravi,Brown,1
Benoit,Hounnou,1
Esso,Khan,1
Yuki,Agyeman,1
Mensah,Sarr,1
Klaus,Sato,1
Marco,Wilson,1
ruth,Tetteh,0
Yves,Nyavor,1
Kouadio,Gbedemah,1
Hortense,Gupta,0
Christopher,Singh,1
Rosalie,Amevor,0
Éric,Ocloo,1
Serena,Durand,0
Sophia,Toure,0
Marguerite,Ferreira,0
Sébastien,Singh,1
Steven,Li,1
Marcel,Zouma,1
Maxime,Aidoo,1
Miguel,Bangoura,1
Dela,Kouyaté,1
Clara,Moussa,0
Luna,Anani,0
Tina,Sato,0
Adjoa,Hansen,0
Hans,Ayite,1
Stefan,Amouzou,1
Komivi,Avoseh,1
Philippine,Koffi,0
Azhar,Kowalski,1
Lily,Russo,0
Aria,Zoungrana,0
Akosua,Boateng,0
Miguel,Hounnou,1
Wendy,Amevor,0
Folly,Diallo,1
Ella,Hansen,0
Arnaud,Taylor,1
Mahmoud,Rossi,1
Gifty,Jones,0
Marco,Taylor,1
Ahmed,Adzaho,1
Annabelle,Suzuki,0
Kodjovi,Asamoah,1
Dela,Zongo,1
Sophie,Rodriguez,0
Edem,Koulibaly,1
Miguel,Abliza,1
Delphine,Clark,0
Amenyo,Agbobli,0
Komla,Boateng,1
Jin,Brown,1
IDRISSOU,Simon,1
Mahmoud,Kouadio,1
Danielle,Miller,0
Rachelle,Durand,0
Efua,Agyeman,0
Mawusi,Gonzalez,0
Alain,Aidoo,1
Ekoue,Kouyaté,1
Andrew,Petrov,1
Ophelie,Sato,0
ruth,Zouma,0
Ravi,Awuku,1
Steven,Koffi,1
Anna,Hansen,0
Kodjovi,Miller,1
Éléonore,Amekudzi,0
Luis,Wilson,1
Fleur,Adzaho,0
Mawusi,Attipoe,0
Akosua,Rossi,0
Gaston,Tanaka,1
Wenceslas,Baah,1
Odile,Kouassi,0
Elena,Baah,0
Élodie,Taylor,0
Chike,Petrov,1
Jürgen,Sarr,1
Perrine,Soglo,0
João,Weber,1
Ella,Ofori,0
Remi,Dogbe,1
Zelda,Jones,0
Dzidzor,Atsu,0
Kokouga,Johnson,1
Addison,Agbozo,0
Ximena,Gupta,0
Skylar,Khan,0
Tatiana,Hounnou,0
Raoul,Anani,1
Paolo,Koulibaly,1
Xenia,Dzokoto,0
Blandine,Zongo,0
Jacqueline,Moussa,0
Louna,Pereira,0
Océana,Tchamye,0
Xenia,Koffi,0
Cecile,Singh,0
Koffi-Doe,Nyavor,1
Ama,Kouyaté,0
Nathalie,Andersen,0
Fiifi,Koulibaly,1
Aria,Liu,0
Pedro,Awuku,1
Xavier,Wilson,1
Kouadio,Wang,1
Olympe,Moreau,0
Georges,Azamati,1
Aria,Nayo,0
Takashi,Singh,1
Joseph,Gupta,1
Tristan,Osei,1
Baptiste,Bangoura,1
Zélie,Zoungrana,0
Fiona,Nyavor,0
Thierry,Weber,1
Komi,Avoseh,1
Manon,Amegashie,0
Liliane,Ackah,0
Jocelyn,Sharma,1
Valerie,Moussa,0
Odile,Attipoe,0
Jin,Martinez,1
Ibrahim,Danquah,1
Sébastien,Russo,1
Lydia,Avoseh,0
Emma,Koulibaly,0
Axelle,Lawson,0
Queen,Zouma,0
Laura,Asamoah,0
Hubert,Obodai,1
Marguerite,Adzaho,0
Natalie,Anani,0
Rebecca,Davis,0
Pascal,Ocloo,1
Violet,Larsson,0
Lars,Nayo,1
Rachelle,Boateng,0
Takashi,Miller,1
Ekoue,Kouadio,1
Juan,Tanaka,1
Hilaire,Tanaka,1
Maïwenn,Kowalski,0
Mazamesso,Quist,1
Gabriella,Garcia,0
Ludovic,Johnson,1
Therese,Kowalski,0
Dominique,Bangoura,1
Zinsou,Koffi,1
Koffi,Akakpo,1
Mawuli,Gupta,1
Kafui,Hounnou,0
Kodjovi,Attipoe,1
Audrey,Baah,0
Quenotte,Amouzou,0
Peter,Pereira,1
Hans,Diallo,1
Gérard,Sylla,1
Essonani,Zoungrana,1
Damien,Boateng,1
Zinnia,Chen,0
Mireille,Lefebvre,0
Odette,Pereira,0
Scarlett,Soglo,0
Jean,Zoungrana,1
François,Moreau,1
Lydia,Gbedemah,0
Tatiana,Clark,0
Chloe,Dossou,0
Agbeko,Traoré,1
Sébastien,Schneider,1
Amélie,Ahove,0
Amouzou,Santos,1
Beatrice,Danquah,0
Richard,Soglo,1
Ama,Koffi,0
Odon,Petrov,1
Quentin,Weber,1
Kossi,Schneider,1
Nathanael,Russo,1
Sophie,Akakpo,0
Didier,Martinez,1
Gilles,Koffi,1
Marco,Ofori,1
Katherine,Schmidt,0
Brian,Zoungrana,1
Chike,Moussa,1
Mensah,Miller,1
Audrey,Garcia,0
Odette,Weber,0
Ophelie,Hounnou,0
Caroline,Ansah,0
Sabrina,Singh,0
Mireille,Koffi,0
Sébastien,Ackah,1
Antoine,Gnama,1
Skylar,Zoungrana,0
Maxime,Attipoe,1
Ama,Attipoe,0
Nana,Osei,0
Lydia,Bangoura,0
Sylvain,Alassani,1
Abdoulaye,Larsson,1
Axelle,Smith,0
Adwoa,Schmidt,0
Elise,Ayite,0
Vijay,Amekudzi,1
Victor,Anani,1
Komi,Atsu,1
Eliana,Takyi,0
Eliana,Lopez,0
Kwame,Zhang,1
José,Abliza,1
Clémence,Abliza,0
Paul,Koulibaly,1
Akosua,Obodai,0
João,Novak,1
Alice,Ferreira,0
Odile,Diawara,0
Zoé,Soglo,0
Pedro,Koulibaly,1
Lei,Chen,1
Eloise,Nayo,0
Hiroshi,Osei,1
Robert,Watanabe,1
Michael,Rodriguez,1
Martine,Ferrari,0
Sven,Aidoo,1
Océana,Anani,0
Coralie,Traoré,0
Sylvain,Ahove,1
Ariana,Nyavor,0
Hannah,Akoto,0
Daniel,Johnson,1
Serena,Zoungrana,0
Folly,Müller,1
Jacqueline,Li,0
Kwaku,Danquah,1
Valerie,Chen,0
Caleb,Diallo,1
Carlos,Dogbe,1
Antoine,Lawson,1
Ellie,Leroy,0
Thomas,Moussa,1
Viviane,Toure,0
Komi,Toure,1
Sven,Kouassi,1
Nathanael,Diallo,1
Paul,Amevor,1
Isabella,Larsson,0
Aleksandr,Sagna,1
Amelia,Esposito,0
Robert,Agyeman,1
Michel,Garcia,1
Élise,Tchamye,0
ruth,Leroy,0
Kossi,Tchamye,1
Eliana,Ayite,0
Talitha,Smith,0
Harper,Obodai,0
David,Traoré,1
Zinnia,Li,0
Fabrice,Tchamye,1
Henri,Gupta,1
Elena,Zoungrana,0
Gifty,Djondo,0
João,Simon,1
Jacqueline,Zouma,0
Anthony,Adomako,1
Yawa,Tetteh,1
Sarah,Wang,0
Camille,Nkrumah,0
Miguel,Aidoo,1
Komla,Agbodeka,1
Aleksandr,Atsu,1
Elena,Silva,0
Therese,Sylla,0
Eloise,Baah,0
Samuel,Opoku,1
Therese,Nayo,0
Dmitry,Watanabe,1
Hubert,Nkrumah,1
Adeyemi,Agbodeka,1
Addison,Amouzou,0
Sylvain,Miller,1
Violet,Weber,0
Jocelyn,Soglo,1
Dominique,Watanabe,1
Marcus,Tchamye,1
Giselle,Nyavor,0
Olivia,Smith,0
Komivi,Sagna,1
Marco,Akoto,1
Aria,Wang,0
Laure,Zongo,0
Odile,Gbedemah,0
Agbeko,Lopez,1
Kevin,Clark,1
ruth,Amekudzi,0
Sergey,Andersen,1
Zinnia,Andersen,0
Mensah,Lawson,1
Boevi,Martinez,1
Abdel-Aziz,Darko,1
Noah,Bakari,1
Isabelle,Sagna,0
Azhar,Andersen,1
Raoul,Djondo,1
Éléonore,Avoseh,0
Madeline,Lefebvre,0
Dominique,Adomako,1
Atsuko,Moussa,0
Ezechiel,Baah,1
Ilétou,Lefebvre,0
Aurora,Dossou,0
Akua,Anani,0
James,Leroy,1
Giuseppe,Schmidt,1
Sophia,Gupta,0
Nadine,Bakari,0
Laurent,Diabre,1
Ibrahim,Williams,1
Baptiste,Takyi,1
Perrine,Petrov,0
Kenneth,Rodriguez,1
Ursula,Gnama,0
Jorge,Kouassi,1
Mia,Koffi,0
Luís,Novak,1
Mawuli,Sokpor,1
Emeka,Zhang,1
Ximena,Sharma,0
Patrick,Hansen,1
Ludovic,Lefebvre,1
Brian,Attipoe,1
Grace,Akakpo,0
Talitha,Gbikpi,0
Irene,Sokpor,0
Abiré,Amevor,0
Olivia,Avoseh,0
Yvette,Gbikpi,0
Madeline,Abliza,0
Joshua,Alassani,1
Mahmoud,Wilson,1
Erik,Wang,1
Rosalie,Kouadio,0
Komivi,Alassani,1
Yasmine,Anani,0
Kodjo,Li,1
Stella,Danquah,0
Wendie,Khan,0
Brian,Bakari,1
Leah,Sagna,0
Odile,Boateng,0
Mensah,Zongo,1
Pascale,Watanabe,0
Remi,Takahashi,1
David,Dzokoto,1
Ariana,Adzaho,0
Isabelle,Agyeman,0
Gérard,Nyaku,1
Alice,Nyavor,0
Noémie,Atsu,0
Abigail,Santos,0
Ophelie,Nayo,0
Isabella,Moussa,0
Nadine,Zouma,0
Violette,Obodai,0
Margot,Adomako,0
Katia,Aidoo,0
Vera,Ferrari,0
Adrien,Asamoah,1
Éléonore,Ahove,0
Philippe,Ferreira,1
Roxane,Miller,0
Dela,Kouassi,1
Willy,Gonzalez,1
Luis,Zoungrana,1
Amit,Djondo,1
Cecilia,Miller,0
Maïwenn,Ofori,0
Zoé,Alassani,0
Hilaire,Djondo,1
Dodji,Williams,1
Jacques,Ofori,1
Yawa,Johnson,1
Margot,Bakari,0
Leah,Diawara,0
Blandine,Sylla,0
Ella,Bangoura,0
Mazamesso,Amekudzi,1
Mansan,Zongo,0
Wendy,Russo,0
Ivan,Martinez,1
Baptiste,Watanabe,1
Willy,Foli,1
Abdel-Aziz,Sokpor,1
Cheikh,Ayite,1
Amouzou,Darko,1
Arnaud,Gbedemah,1
Martine,Williams,0
Fatoumata,Obodai,0
Tristan,Suzuki,1
Joshua,Akakpo,1
Jeanne,Foli,0
Raoul,Lawson,1
William,Adomako,1
Addison,Amevor,0
Xaviera,Simon,0
Carlos,Zoungrana,1
Komi,Ofori-Atta,1
Ava,Weber,0
Xavier,Williams,1
Téléky,Ofori-Atta,1
Hailey,Nayo,0
Fiosron,Johnson,0
Chen,Osei,1
Mohamed,Agyeman,1
Yōsuke,Zouma,1
Catherine,Durand,0
Kokouga,Owusu,1
Jacqueline,Akakpo-Doe,0
Hailey,Owusu,0
Blandine,Larsson,0
Tania,Davis,0
Vincent,Garcia,1
Maxime,Jones,1
Hussein,Ahove,1
Akosua,Pereira,0
Amenyo,Sato,0
Jeanne,Takahashi,0
Raoul,Nyavor,1
Giselle,Batali,0
Victor,Sagna,1
Adjoua,Agbodeka,1
Luc,Soglo,1
Estelle,Gbedemah,0
Mireille,Pereira,0
Fabrice,Lefebvre,1
Gabriella,Dogbe,0
Anani,Ackah,1
Atsuko,Ayite,0
Léa,Obodai,0
Essonani,Leroy,1
Brooklyn,Andersen,0
Sylvain,Lopez,1
Stella,Foli,0
Jürgen,Taylor,1
Hazel,Lopez,0
Abdel-Aziz,Tetteh,1
Essowaza,Akakpo,1
Yuki,Opoku,1
Ravi,Sokpor,1
Fiona,Osei,0
Akossiwa,Aidoo,0
Penelope,Fischer,0
Kokou,Kouyaté,1
Komla,Wilson,1
Amélie,Akakpo,0
Amelia,Agyeman,0
João,Ofosu,1
Yawa,Dossou,1
Hilaire,Ivanov,1
Séraphine,Durand,0
Lars,Leroy,1
Sven,Gbedemah,1
Essowaza,Nayo,1
James,Garcia,1
Hortense,Batali,0
Antoine,Santos,1
Dela,Adomako,1
Essowaza,Ferrari,1
Hussein,Nkrumah,1
Georges,Lefebvre,1
Luís,Obodai,1
Grace,Simon,0
Joelle,Khan,0
Kafui,Jones,0
Valentin,Attipoe,1
Valerie,Nayo,0
Camille,Owusu,0
Léa,Rodriguez,0
Maxime,Ofori-Atta,1
Lily,Lawson,0
Ines,Schneider,0
Jacques,Russo,1
Winnie,Zouma,0
Vijay,Tetteh,1
Léa,Zouma,0
Fiifi,Anani,1
Lars,Bangoura,1
Laurent,Awuku,1
Takashi,Tanaka,1
Kodjovi,Brown,1
Andrew,Asamoah,1
Hilaire,Sato,1
Florence,Davis,0
Anaïs,Morquette,0
Marcel,Rodriguez,1
Tiphaine,Dossou,0
Gifty,Russo,0
Mahmoud,Attipoe,1
Emily,Lawson,0
Médar,Koffi,1
Pedro,Li,1
Emeka,Singh,1
Matthew,Diallo,1
Aria,Sharma,0
Aurora,Watanabe,0
Anaïs,Agbodeka,0
Afi,Ofosu,0
Steven,Dossou,1
Baptiste,Abliza,1
Marcus,Quist,1
Estelle,Togbe,0
Marion,Quist,0
Carlos,Boateng,1
Laura,Ferrari,0
Axelle,Garcia,0
Edem,Kowalski,1
Maxime,Ivanov,1
Anthony,Abliza,1
Valentin,Gbikpi,1
Koku,Adzaho,1
Marcel,Davis,1
Ade,Diabre,1
Patrick,Amekudzi,1
Madeline,Agbobli,0
Kokou,Gupta,1
Cheikh,Clark,1
Kossi,Batali,1
Julien,Kouadio,1
Pascal,Baah,1
Valentin,Johansson,1
Alice,Akakpo,0
Abigail,Russo,0
Rémy,Togbe,1
Kossi,Akakpo-Doe,1
Aria,Togbe,0
Mensah,Agyeman,1
Zinnia,Zoungrana,0
Nicolette,Boateng,0
Grace,Attipoe,0
Serena,Müller,0
Sven,Singh,1
Hiroshi,Ofosu,1
Lilou,Dzokoto,0
Natalie,Rodriguez,0
Philippe,Tetteh,1
Zoe,Suzuki,0
Lucy,Taylor,0
Akua,Zoungrana,0
Kwesi,Nyavor,1
Zinsou,Takahashi,1
Manon,Toure,0
Abdel-Aziz,Johansson,1
Ellie,Chen,0
Camila,Wilson,0
Dodji,Danquah,1
Tina,Agyeman,0
Dela,Durand,1
Leah,Quist,0
Skylar,Wang,0
Victor,Nyavor,1
Jürgen,Kouassi,1
José,Rossi,1
Méyébinesso,Petrov,1
Mila,Fischer,0
Kevin,Jones,1
Madison,Pereira,0
Zélie,Liu,0
Mohamed,Gonzalez,1
ruth,Silva,0
Alice,Wilson,0
Julie,Abliza,0
Richard,Gupta,1
Valerie,Agbodeka,0
Véronique,Patel,0
Cecilia,Ayite,0
Mireille,Sato,0
Véronique,Jones,0
Awura,Ocloo,0
Ximena,Avoseh,0
Fiona,Chen,0
Kenneth,Dzokoto,1
Kwame,Hounnou,1
Anthony,Koffi,1
Gildas,Weber,1
Régis,Dzokoto,1
Annabelle,Watanabe,0
Ximena,Zhang,0
Dominique,Abliza,1
Adjoua,Nyavor,1
Zelda,Zouma,0
Violet,Johnson,0
Lilou,Johnson,0
William,Gonzalez,1
Allison,Obodai,0
Chike,Tchamye,1
Fiifi,Batali,1
Nana,Sokpor,0
Pierrette,Zouma,0
Baptiste,Tchamye,1
Zinsou,Sato,1
Mansan,Nkrumah,0
Brian,Lawson,1
Yuki,Dogbe,1
Ahmed,Batali,1
Ximena,Rodriguez,0
Odile,Taylor,0
Cédric,Liu,1
Stefan,Kouadio,1
Allison,Sato,0
Mahmoud,Akakpo-Doe,1
Efua,Schneider,0
Éric,Weber,1
Roxane,Quist,0
Gabriella,Darko,0
Louna,Hounnou,0
Robert,Ocloo,1
Aria,Koulibaly,0
Youssef,Johnson,1
Perrine,Moreau,0
ruth,Batali,0
Odette,Clark,0
Kevin,Akoto,1
Jocelyn,Atsu,1
Youssef,Dzokoto,1
Pascal,Ansah,1
Océane,Santos,0
Atsuko,Simon,0
Ilétou,Khan,0
Estelle,Dossou,0
Kossiwa,Toure,0
Cheikh,Jones,1
Denis,Dossou,1
Alice,Hansen,0
Éric,Darko,1
Sarah,Zoungrana,0
Kodjovi,Gbikpi,1
Samuel,Esposito,1
Yolande,Avoseh,0
Séraphine,Silva,0
Marco,Lawson,1
Brian,Kouadio,1
Luís,Danquah,1
Nora,Darko,0
Gabriella,Lopez,0
Cécilia,Diawara,0
Johan,Wang,1
Cheikh,Nyaku,1
Yawa,Ayigbe,1
Zelda,Simon,0
Kwaku,Miller,1
Yannick,Gbikpi,1
Wendie,Akoto,0
Valentin,Tchamye,1
Awura,Akakpo-Doe,0
João,Kouassi,1
Adjoua,Sharma,1
Karine,Moussa,0
Willy,Zongo,1
Catherine,Kouassi,0
Marion,Smith,0
Omar,Abliza,1
Éléonore,Zoungrana,0
Abigail,Sharma,0
Yasmine,Leroy,0
Ludovic,Moreau,1
Luís,Wilson,1
Kouadio,Anani,1
Wei,Agbobli,1
Louna,Sarr,0
Madeline,Anani,0
Luís,Simon,1
Abigail,Garcia,0
Mawuli,Azamati,1
Fiifi,Takyi,1
Allison,Petrov,0
Essonani,Bakari,1
Irene,Awuku,0
Mahmoud,Alassani,1
Essowaza,Danquah,1
Mansan,Takyi,0
Luis,Taylor,1
Kouadio,Adomako,1
Brian,Rodriguez,1
Koffi-Doe,Andersen,1
Adwoa,Amegashie,0
Elise,Khan,0
Odile,Soglo,0
Théo,Opoku,1
LARE,Baah,1
Justine,Andersen,0
Patrick,Wilson,1
Atsuko,Sharma,0
Adwoa,Kouassi,0
Tatiana,Lefebvre,0
Valentine,Miller,0
Adrien,Tchamye,1
Émilie,Takyi,0
Akowé,Dogbe,1
Lise,Fischer,0
Carlos,Danquah,1
Manon,Tetteh,0
Adjoa,Awuku,0
Laure,Wilson,0
Roseline,Amegashie,0
